studyName,"Date GMT",Island,Colony,"Band Number","Weight (g)"
PAL9192,1992-02-07,HUM,BCH,4622,2800
PAL9192,1992-02-09,HUM,BCH,4184,3350
PAL9192,1992-02-09,HUM,BCH,4420,3150
PAL9192,1992-02-09,HUM,BCH,4650,3400
PAL9192,1992-02-11,HUM,BCH,4063,3450
PAL9192,1992-02-11,HUM,BCH,4080,3250
PAL9192,1992-02-11,HUM,BCH,4103,3350
PAL9192,1992-02-11,HUM,BCH,4110,3400
PAL9192,1992-02-11,HUM,BCH,4188,3500
PAL9192,1992-02-11,HUM,BCH,4231,3150
PAL9192,1992-02-11,HUM,BCH,4232,3150
PAL9192,1992-02-11,HUM,BCH,4377,3050
PAL9192,1992-02-11,HUM,BCH,4442,3100
PAL9192,1992-02-11,HUM,BCH,4527,2950
PAL9192,1992-02-11,HUM,BCH,4603,2850
PAL9192,1992-02-13,HUM,BCH,4012,3000
PAL9192,1992-02-13,HUM,BCH,4034,2150
PAL9192,1992-02-13,HUM,BCH,4038,3450
PAL9192,1992-02-13,HUM,BCH,4061,3550
PAL9192,1992-02-13,HUM,BCH,4093,2750
PAL9192,1992-02-13,HUM,BCH,4118,3350
PAL9192,1992-02-13,HUM,BCH,4119,3400
PAL9192,1992-02-13,HUM,BCH,4140,3450
PAL9192,1992-02-13,HUM,BCH,4230,3250
PAL9192,1992-02-13,HUM,BCH,4348,3150
PAL9192,1992-02-13,HUM,BCH,4415,3800
PAL9192,1992-02-13,HUM,BCH,4509,2950
PAL9192,1992-02-13,HUM,BCH,4620,3550
PAL9192,1992-02-13,HUM,BCH,4732,3550
PAL9192,1992-02-13,HUM,BCH,4803,2750
PAL9192,1992-02-13,HUM,BCH,4846,2950
PAL9192,1992-02-13,HUM,BCH,4979,2900
PAL9192,1992-02-15,HUM,BCH,4009,3350
PAL9192,1992-02-15,HUM,BCH,4025,3600
PAL9192,1992-02-15,HUM,BCH,4053,3400
PAL9192,1992-02-15,HUM,BCH,4085,3450
PAL9192,1992-02-15,HUM,BCH,4168,3300
PAL9192,1992-02-15,HUM,BCH,4187,3350
PAL9192,1992-02-15,HUM,BCH,4205,3550
PAL9192,1992-02-15,HUM,BCH,4224,2500
PAL9192,1992-02-15,HUM,BCH,4286,3650
PAL9192,1992-02-15,HUM,BCH,4383,2550
PAL9192,1992-02-15,HUM,BCH,4459,3350
PAL9192,1992-02-15,HUM,BCH,4502,3450
PAL9192,1992-02-15,HUM,BCH,4557,3100
PAL9192,1992-02-15,HUM,BCH,4657,3250
PAL9192,1992-02-15,HUM,BCH,4666,3400
PAL9192,1992-02-15,HUM,BCH,4697,2950
PAL9192,1992-02-15,HUM,BCH,4771,3050
PAL9192,1992-02-15,HUM,BCH,4823,3200
PAL9192,1992-02-15,HUM,BCH,4836,2700
PAL9192,1992-02-15,HUM,BCH,4837,3750
PAL9192,1992-02-15,HUM,BCH,4903,3150
PAL9192,1992-02-15,HUM,BCH,4966,3100
